100kav1200,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,575,,,,
1D,527,302,234,307,377
2D,1756,1186,835,920,954
Invasive,1846,1918,739,820,817
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,576,,,,
1D,526,302,240,314,380
2D,1754,1159,826,929,1009
Invasive,1847,1916,740,812,857
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,578,,,,
1D,527,303,236,321,360
2D,1755,1183,828,946,976
Invasive,1845,1915,915,781,833
,,,,,

Fastest Run,,,,,
Seriell,575,,,,
1D,526,302,234,307,360
2D,1754,1159,826,920,954
Invasive,1845,1915,739,781,817
,,,,,
Average Time,,,,,
Seriell,576.33,,,,
1D,526.67,302.33,236.67,314,372.33
2D,1755,1176,829.67,931.67,979.67
Invasive,1846,1916.33,798,804.33,835.67
