375 bis 1500,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,380,,,,
1D,367,282,243,325,341
2D,1180,1000,772,854,934
Invasive,1221,1266,712,718,689
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,379,,,,
1D,366,313,266,306,351
2D,1182,909,778,807,964
Invasive,1229,1270,697,696,676
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,379,,,,
1D,366,279,239,294,348
2D,1182,879,753,936,978
Invasive,1220,1266,681,698,698
,,,,,

Fastest,,,,,
Seriell,379,,,,
1D,366,279,239,294,341
2D,1180,879,753,807,934
Invasive,1220,1266,681,696,676
,,,,,
Average,,,,,
Seriell,379.33,,,,
1D,366.33,291.33,249.33,308.33,346.67
2D,1181.33,929.33,767.67,865.67,958.67
Invasive,1223.33,1267.33,696.67,704,687.67
